,state_number,consecutive_number,vehicle_number,contributing_circumstances_motor_vehicle,contributing_circumstances_motor_vehicle_name
0,38,380091,5,0,None
1,38,380097,5,0,None
2,56,560031,16,0,None
3,56,560031,5,0,None
4,56,560031,6,0,None
5,56,560031,7,0,None
6,56,560031,9,0,None
7,56,560031,10,0,None
8,56,560031,11,0,None
9,56,560031,12,0,None
10,56,560031,13,0,None
11,56,560031,14,0,None
12,56,560031,15,0,None
13,56,560031,17,0,None
14,56,560031,18,0,None
15,56,560031,19,0,None
16,10,100079,5,0,None
17,10,100079,6,0,None
18,10,100006,5,0,None
19,10,100011,5,0,None
20,10,100011,6,0,None
21,2,20035,5,0,None
22,2,20035,6,0,None
23,1,10343,5,0,None
24,1,10343,6,0,None
25,1,10343,7,0,None
26,1,10286,5,0,None
27,1,10095,5,0,None
28,1,10095,6,0,None
29,1,10095,7,0,None
30,1,10095,8,0,None
31,1,10095,9,0,None
32,1,10095,10,0,None
33,1,10034,5,0,None
34,1,10034,6,0,None
35,1,10141,5,0,None
36,1,10141,6,0,None
37,1,10141,7,0,None
38,1,10141,8,0,None
39,1,10141,9,0,None
40,1,10153,5,0,None
41,4,40688,5,0,None
42,4,40688,6,0,None
43,4,40696,5,0,None
44,4,40696,6,0,None
45,4,40541,5,0,None
46,4,40824,5,0,None
47,4,40824,6,0,None
48,4,40761,5,0,None
49,4,40761,6,0,None
50,4,40532,5,0,None
51,4,40532,6,0,None
52,4,40532,7,0,None
53,4,40105,5,0,None
54,4,40105,6,0,None
55,5,50342,5,0,None
56,5,50319,6,0,None
57,5,50319,5,0,None
58,5,50474,5,0,None
59,5,50474,6,0,None
60,6,63135,5,0,None
61,6,62491,5,0,None
62,6,62491,6,0,None
63,6,62491,7,0,None
64,6,62448,5,0,None
65,6,62448,6,0,None
66,6,62437,5,0,None
67,6,62437,6,0,None
68,6,62437,7,0,None
69,6,62068,5,0,None
70,6,62206,5,0,None
71,6,62240,5,0,None
72,6,63030,5,0,None
73,6,62966,5,0,None
74,6,62966,6,0,None
75,6,62966,7,0,None
76,6,62966,8,0,None
77,6,62966,9,0,None
78,6,62966,10,0,None
79,6,62748,5,0,None
80,6,62701,5,0,None
81,6,60020,5,0,None
82,6,60060,5,0,None
83,6,60060,6,0,None
84,6,61537,5,0,None
85,6,61502,5,0,None
86,6,61166,5,0,None
87,6,61166,6,0,None
88,6,61346,5,0,None
89,6,61808,5,0,None
90,6,61945,5,0,None
91,6,61945,6,0,None
92,6,61757,5,0,None
93,6,61757,6,0,None
94,6,61757,7,0,None
95,6,61757,8,0,None
96,6,61795,5,0,None
97,6,60481,5,0,None
98,6,60481,6,0,None
99,6,60481,7,0,None
100,6,60512,8,0,None
101,6,60512,5,0,None
102,6,60512,6,0,None
103,6,60512,7,0,None
104,6,60263,5,0,None
105,6,60263,6,0,None
106,6,61061,5,0,None
107,6,61070,5,0,None
108,6,61020,5,0,None
109,6,61020,6,0,None
110,8,80197,5,0,None
111,8,80197,6,0,None
112,8,80197,7,0,None
113,8,80197,8,0,None
114,8,80388,5,0,None
115,8,80126,5,0,None
116,8,80389,5,0,None
117,9,90227,5,0,None
118,9,90227,6,0,None
119,9,90227,7,0,None
120,9,90227,8,0,None
121,12,121478,5,0,None
122,12,121163,5,0,None
123,12,121199,5,0,None
124,12,121199,6,0,None
125,12,121199,7,0,None
126,12,121101,5,0,None
127,12,121101,6,0,None
128,12,121101,7,0,None
129,12,121947,5,0,None
130,12,121984,5,0,None
131,12,121984,6,0,None
132,12,121984,7,0,None
133,12,122008,5,0,None
134,12,121843,5,0,None
135,12,121738,5,0,None
136,12,120307,5,0,None
137,12,120307,6,0,None
138,12,120307,7,0,None
139,12,120307,8,0,None
140,12,120307,9,0,None
141,12,120938,5,0,None
142,12,120838,5,0,None
143,12,120958,5,0,None
144,12,122470,5,0,None
145,12,122612,5,0,None
146,12,122252,5,0,None
147,12,122252,6,0,None
148,12,122252,7,0,None
149,12,122187,5,0,None
150,12,122175,5,0,None
151,13,130729,5,0,None
152,13,130480,6,0,None
153,13,130480,5,0,None
154,13,130480,7,0,None
155,13,130385,5,0,None
156,13,130385,6,0,None
157,13,130385,7,0,None
158,13,130538,5,0,None
159,13,131183,5,0,None
160,13,131183,6,0,None
161,13,130979,5,0,None
162,13,130199,5,0,None
163,13,130251,5,0,None
164,13,130251,6,0,None
165,17,170226,5,0,None
166,17,170204,5,0,None
167,17,170920,8,0,None
168,17,170920,6,0,None
169,17,170920,7,0,None
170,17,170920,9,0,None
171,17,170920,12,0,None
172,17,170420,5,0,None
173,18,180458,5,0,None
174,18,180458,6,0,None
175,18,180458,7,0,None
176,18,180053,5,0,None
177,18,180053,6,0,None
178,18,180125,5,0,None
179,18,180125,6,0,None
180,18,180125,7,0,None
181,18,180125,8,0,None
182,18,180125,9,0,None
183,18,180748,5,0,None
184,18,180725,12,0,None
185,18,180725,5,0,None
186,18,180725,6,0,None
187,18,180725,7,0,None
188,18,180725,8,0,None
189,18,180725,9,0,None
190,18,180725,10,0,None
191,18,180725,11,0,None
192,18,180725,13,0,None
193,18,180725,14,0,None
194,19,190031,5,0,None
195,19,190031,6,0,None
196,20,200060,5,0,None
197,21,210070,5,0,None
198,21,210210,5,0,None
199,21,210210,6,0,None
200,21,210210,7,0,None
201,21,210199,5,0,None
202,21,210302,7,0,None
203,21,210302,5,0,None
204,21,210302,6,0,None
205,24,240129,5,0,None
206,24,240475,5,0,None
207,24,240232,5,0,None
208,26,260662,5,0,None
209,26,260682,5,0,None
210,26,260682,6,0,None
211,26,260463,7,0,None
212,26,260461,5,0,None
213,26,260463,5,0,None
214,26,260463,6,0,None
215,26,260463,8,0,None
216,26,260561,5,0,None
217,26,260561,6,0,None
218,26,260561,7,0,None
219,26,260911,58,0,None
220,26,260911,47,0,None
221,26,260911,48,0,None
222,26,260911,49,0,None
223,26,260911,50,0,None
224,26,260911,51,0,None
225,26,260911,52,0,None
226,26,260911,53,0,None
227,26,260911,54,0,None
228,26,260911,55,0,None
229,26,260911,56,0,None
230,26,260911,57,0,None
231,26,260911,46,0,None
232,26,260911,35,0,None
233,26,260911,25,0,None
234,26,260911,26,0,None
235,26,260911,27,0,None
236,26,260911,28,0,None
237,26,260911,29,0,None
238,26,260911,30,0,None
239,26,260911,31,0,None
240,26,260911,32,0,None
241,26,260911,33,0,None
242,26,260911,34,0,None
243,26,260911,36,0,None
244,26,260911,37,0,None
245,26,260911,38,0,None
246,26,260911,39,0,None
247,26,260911,40,0,None
248,26,260911,41,0,None
249,26,260911,42,0,None
250,26,260911,43,0,None
251,26,260911,44,0,None
252,26,260911,45,0,None
253,26,260911,24,0,None
254,26,260894,5,0,None
255,26,260894,6,0,None
256,26,260894,7,0,None
257,26,260898,5,0,None
258,26,260898,6,0,None
259,26,260898,7,0,None
260,26,260911,13,0,None
261,26,260911,5,0,None
262,26,260911,6,0,None
263,26,260911,7,0,None
264,26,260911,8,0,None
265,26,260911,9,0,None
266,26,260911,10,0,None
267,26,260911,11,0,None
268,26,260911,12,0,None
269,26,260911,14,0,None
270,26,260911,15,0,None
271,26,260911,16,0,None
272,26,260911,17,0,None
273,26,260911,18,0,None
274,26,260911,19,0,None
275,26,260911,20,0,None
276,26,260911,21,0,None
277,26,260911,22,0,None
278,26,260911,23,0,None
279,26,260360,5,0,None
280,27,270035,5,0,None
281,27,270035,6,0,None
282,27,270035,7,0,None
283,27,270035,8,0,None
284,28,280211,5,0,None
285,29,290805,5,0,None
286,29,290805,6,0,None
287,29,290498,5,0,None
288,29,290420,6,0,None
289,29,290643,5,0,None
290,29,290643,6,0,None
291,29,290643,7,0,None
292,29,290420,5,0,None
293,29,290129,5,0,None
294,29,290152,5,0,None
295,29,290152,6,0,None
296,29,290152,7,0,None
297,29,290152,8,0,None
298,29,290152,9,0,None
299,30,300019,5,0,None
300,32,320119,9,0,None
301,32,320119,5,0,None
302,32,320119,6,0,None
303,32,320119,7,0,None
304,32,320119,8,0,None
305,32,320108,5,0,None
306,32,320100,5,0,None
307,32,320226,5,0,None
308,34,340025,5,0,None
309,34,340244,11,0,None
310,34,340244,5,0,None
311,34,340244,6,0,None
312,34,340244,7,0,None
313,34,340244,8,0,None
314,34,340244,9,0,None
315,34,340244,10,0,None
316,34,340244,12,0,None
317,34,340244,13,0,None
318,34,340244,14,0,None
319,34,340244,15,0,None
320,34,340244,16,0,None
321,34,340244,17,0,None
322,34,340244,18,0,None
323,34,340244,19,0,None
324,34,340174,5,0,None
325,34,340174,6,0,None
326,34,340189,5,0,None
327,35,350272,5,0,None
328,35,350271,5,0,None
329,35,350090,5,0,None
330,35,350072,5,0,None
331,35,350031,5,0,None
332,35,350031,6,0,None
333,35,350031,7,0,None
334,36,360094,5,0,None
335,36,360211,5,0,None
336,36,360211,6,0,None
337,36,360823,5,0,None
338,36,360823,6,0,None
339,36,360883,6,0,None
340,36,360883,7,0,None
341,36,360889,5,0,None
342,36,360889,6,0,None
343,37,370920,5,0,None
344,37,371035,5,0,None
345,39,390088,5,0,None
346,39,390088,6,0,None
347,39,390088,7,0,None
348,39,390088,8,0,None
349,39,390126,28,0,None
350,39,390126,17,0,None
351,39,390126,18,0,None
352,39,390126,19,0,None
353,39,390126,20,0,None
354,39,390126,21,0,None
355,39,390126,22,0,None
356,39,390126,23,0,None
357,39,390126,24,0,None
358,39,390126,25,0,None
359,39,390126,26,0,None
360,39,390126,27,0,None
361,39,390126,16,0,None
362,39,390126,29,0,None
363,39,390126,5,0,None
364,39,390122,5,0,None
365,39,390126,6,0,None
366,39,390126,7,0,None
367,39,390126,8,0,None
368,39,390126,9,0,None
369,39,390126,10,0,None
370,39,390126,11,0,None
371,39,390126,12,0,None
372,39,390126,13,0,None
373,39,390126,14,0,None
374,39,390126,15,0,None
375,39,390096,24,0,None
376,39,390096,13,0,None
377,39,390096,14,0,None
378,39,390096,15,0,None
379,39,390096,16,0,None
380,39,390096,17,0,None
381,39,390096,18,0,None
382,39,390096,19,0,None
383,39,390096,20,0,None
384,39,390096,21,0,None
385,39,390096,22,0,None
386,39,390096,23,0,None
387,39,390096,12,0,None
388,39,390096,25,0,None
389,39,390096,26,0,None
390,39,390096,27,0,None
391,39,390096,28,0,None
392,39,390096,29,0,None
393,39,390096,30,0,None
394,39,390096,31,0,None
395,39,390096,5,0,None
396,39,390096,6,0,None
397,39,390096,7,0,None
398,39,390096,8,0,None
399,39,390096,9,0,None
400,39,390096,10,0,None
401,39,390096,11,0,None
402,39,390099,5,0,None
403,39,390099,6,0,None
404,39,390099,7,0,None
405,39,390552,5,0,None
406,39,390552,6,0,None
407,40,400055,5,0,None
408,40,400365,5,0,None
409,40,400365,6,0,None
410,40,400365,7,0,None
411,40,400245,5,0,None
412,40,400245,6,0,None
413,41,410333,6,0,None
414,41,410333,7,0,None
415,41,410333,8,0,None
416,41,410333,9,0,None
417,41,410333,10,0,None
418,41,410333,11,0,None
419,41,410333,5,0,None
420,41,410316,5,0,None
421,41,410316,6,0,None
422,41,410316,7,0,None
423,41,410053,5,0,None
424,42,420702,5,0,None
425,42,420702,6,0,None
426,42,420702,7,0,None
427,42,420702,8,0,None
428,42,420702,9,0,None
429,42,420704,5,0,None
430,42,420704,6,0,None
431,42,420704,7,0,None
432,42,420704,8,0,None
433,42,420704,9,0,None
434,42,420704,10,0,None
435,42,420704,11,0,None
436,42,420704,12,0,None
437,42,420704,13,0,None
438,42,420704,14,0,None
439,42,420363,5,0,None
440,42,420363,6,0,None
441,42,420704,15,0,None
442,42,420772,5,0,None
443,42,420704,16,0,None
444,42,420704,17,0,None
445,42,420704,18,0,None
446,42,420704,19,0,None
447,42,420704,20,0,None
448,42,420704,21,0,None
449,42,420704,22,0,None
450,42,420710,5,0,None
451,42,420710,6,0,None
452,45,450341,5,0,None
453,45,450155,5,0,None
454,45,450114,5,0,None
455,45,450114,6,0,None
456,47,470389,6,0,None
457,47,470389,7,0,None
458,47,470389,8,0,None
459,47,470389,9,0,None
460,47,470389,5,0,None
461,47,470109,5,0,None
462,47,470296,6,0,None
463,47,470750,5,0,None
464,48,482929,5,0,None
465,48,482737,5,0,None
466,48,482737,6,0,None
467,48,482782,5,0,None
468,48,482030,5,0,None
469,48,482023,5,0,None
470,48,482062,6,0,None
471,48,482062,5,0,None
472,48,482162,5,0,None
473,48,482145,5,0,None
474,48,482145,6,0,None
475,48,482165,5,0,None
476,48,482165,6,0,None
477,48,481733,5,0,None
478,48,481733,6,0,None
479,48,481729,5,0,None
480,48,481729,6,0,None
481,48,481729,7,0,None
482,48,481729,8,0,None
483,48,481729,9,0,None
484,48,482627,5,0,None
485,48,482668,5,0,None
486,48,482644,5,0,None
487,48,482644,6,0,None
488,48,482254,5,0,None
489,48,482373,5,0,None
490,48,482369,5,0,None
491,48,482369,6,0,None
492,48,482369,7,0,None
493,48,481184,5,0,None
494,48,481207,6,0,None
495,48,481207,5,0,None
496,48,481149,5,0,None
497,48,480824,5,0,None
498,48,480828,5,0,None
499,48,480828,6,0,None
500,48,480777,5,0,None
501,48,480879,5,0,None
502,48,481634,5,0,None
503,48,481333,5,0,None
504,48,481257,5,0,None
505,48,481257,6,0,None
506,48,481257,7,0,None
507,48,481257,8,0,None
508,48,481257,9,0,None
509,48,480751,5,0,None
510,48,480330,5,0,None
511,49,490250,5,0,None
512,49,490123,16,0,None
513,49,490123,5,0,None
514,49,490123,6,0,None
515,49,490123,8,0,None
516,49,490123,9,0,None
517,49,490123,10,0,None
518,49,490123,11,0,None
519,49,490123,12,0,None
520,49,490123,13,0,None
521,49,490123,14,0,None
522,49,490123,15,0,None
523,49,490027,5,0,None
524,49,490011,5,0,None
525,49,490046,5,0,None
526,51,510171,5,0,None
527,51,510171,6,0,None
528,51,510261,5,0,None
529,51,510261,6,0,None
530,53,530505,5,0,None
531,53,530442,5,0,None
532,53,530487,5,0,None
533,53,530404,5,0,None
534,53,530404,6,0,None
535,53,530404,7,0,None
536,53,530396,5,0,None
537,53,530397,5,0,None
538,53,530380,5,0,None
539,54,540135,5,0,None
540,55,550048,5,0,None
541,55,550048,6,0,None
542,55,550528,5,0,None
543,55,550528,6,0,None
544,51,510171,7,97,Other
545,41,410225,7,98,Not Reported
546,41,410225,6,98,Not Reported
547,41,410225,5,98,Not Reported
548,6,62491,8,99,Unknown
549,17,170533,5,99,Unknown
550,17,170952,5,99,Unknown
551,17,170952,6,99,Unknown
552,22,220440,5,99,Unknown
553,37,371097,5,99,Unknown
554,37,371097,6,99,Unknown
555,40,400365,8,99,Unknown
556,42,420648,5,99,Unknown
557,47,470316,5,99,Unknown
558,49,490123,7,99,Unknown
559,38,380101,1,0,None
560,38,380102,1,0,None
561,38,380103,1,0,None
562,38,380104,1,0,None
563,38,380105,1,0,None
