,state_number,consecutive_number,vehicle_number,contributing_circumstances_motor_vehicle,contributing_circumstances_motor_vehicle_name
564,38,380106,1,0,None
565,38,380107,1,0,None
566,38,380100,1,0,None
567,38,380108,1,0,None
568,38,380109,1,0,None
569,38,380110,1,0,None
570,38,380111,1,0,None
571,38,380112,1,0,None
572,38,380113,1,0,None
573,38,380114,1,0,None
574,38,380115,1,0,None
575,38,380094,1,0,None
576,38,380090,1,0,None
577,38,380091,1,0,None
578,38,380092,1,0,None
579,38,380093,1,0,None
580,38,380116,1,0,None
581,38,380095,1,0,None
582,38,380096,1,0,None
583,38,380097,1,0,None
584,38,380098,1,0,None
585,38,380099,1,0,None
586,38,380089,1,0,None
587,38,380051,1,0,None
588,38,380040,1,0,None
589,38,380041,1,0,None
590,38,380044,1,0,None
591,38,380045,1,0,None
592,38,380046,1,0,None
593,38,380047,1,0,None
594,38,380048,1,0,None
595,38,380049,1,0,None
596,38,380050,1,0,None
597,38,380039,1,0,None
598,38,380052,1,0,None
599,38,380053,1,0,None
600,38,380054,1,0,None
601,38,380055,1,0,None
602,38,380056,1,0,None
603,38,380057,1,0,None
604,38,380029,1,0,None
605,38,380022,1,0,None
606,38,380023,1,0,None
607,38,380024,1,0,None
608,38,380025,1,0,None
609,38,380026,1,0,None
610,38,380027,1,0,None
611,38,380028,1,0,None
612,38,380058,1,0,None
613,38,380030,1,0,None
614,38,380031,1,0,None
615,38,380032,1,0,None
616,38,380033,1,0,None
617,38,380034,1,0,None
618,38,380035,1,0,None
619,38,380036,1,0,None
620,38,380037,1,0,None
621,38,380038,1,0,None
622,38,380075,1,0,None
623,38,380076,1,0,None
624,38,380077,1,0,None
625,38,380078,1,0,None
626,38,380079,1,0,None
627,38,380080,1,0,None
628,38,380081,1,0,None
629,38,380082,1,0,None
630,38,380083,1,0,None
631,38,380084,1,0,None
632,38,380085,1,0,None
633,38,380086,1,0,None
634,38,380087,1,0,None
635,38,380088,1,0,None
636,38,380067,1,0,None
637,38,380059,1,0,None
638,38,380062,1,0,None
639,38,380063,1,0,None
640,38,380064,1,0,None
641,38,380065,1,0,None
642,38,380066,1,0,None
643,38,380068,1,0,None
644,38,380069,1,0,None
645,38,380070,1,0,None
646,38,380071,1,0,None
647,38,380072,1,0,None
648,38,380073,1,0,None
649,38,380074,1,0,None
650,38,380007,1,0,None
651,38,380008,1,0,None
652,38,380009,1,0,None
653,38,380010,1,0,None
654,38,380011,1,0,None
655,38,380012,1,0,None
656,38,380013,1,0,None
657,38,380014,1,0,None
658,38,380015,1,0,None
659,38,380017,1,0,None
660,38,380018,1,0,None
661,38,380019,1,0,None
662,38,380021,1,0,None
663,38,380001,1,0,None
664,38,380002,1,0,None
665,38,380003,1,0,None
666,38,380005,1,0,None
667,38,380006,1,0,None
668,33,330066,1,0,None
669,33,330067,1,0,None
670,33,330068,1,0,None
671,33,330069,1,0,None
672,33,330070,1,0,None
673,33,330071,1,0,None
674,33,330072,1,0,None
675,33,330073,1,0,None
676,33,330065,1,0,None
677,33,330074,1,0,None
678,33,330075,1,0,None
679,33,330076,1,0,None
680,33,330077,1,0,None
681,33,330078,1,0,None
682,33,330079,1,0,None
683,33,330080,1,0,None
684,33,330081,1,0,None
685,33,330050,1,0,None
686,33,330051,1,0,None
687,33,330052,1,0,None
688,33,330053,1,0,None
689,33,330054,1,0,None
690,33,330055,1,0,None
691,33,330082,1,0,None
692,33,330056,1,0,None
693,33,330057,1,0,None
694,33,330058,1,0,None
695,33,330059,1,0,None
696,33,330060,1,0,None
697,33,330061,1,0,None
698,33,330062,1,0,None
699,33,330063,1,0,None
700,33,330064,1,0,None
701,33,330100,1,0,None
702,33,330101,1,0,None
703,33,330102,1,0,None
704,33,330103,1,0,None
705,33,330090,1,0,None
706,33,330083,1,0,None
707,33,330084,1,0,None
708,33,330085,1,0,None
709,33,330086,1,0,None
710,33,330087,1,0,None
711,33,330088,1,0,None
712,33,330089,1,0,None
713,33,330049,1,0,None
714,33,330091,1,0,None
715,33,330092,1,0,None
716,33,330093,1,0,None
717,33,330094,1,0,None
718,33,330096,1,0,None
719,33,330097,1,0,None
720,33,330098,1,0,None
721,33,330099,1,0,None
722,33,330001,1,0,None
723,33,330002,1,0,None
724,33,330003,1,0,None
725,33,330004,1,0,None
726,33,330005,1,0,None
727,33,330006,1,0,None
728,33,330007,1,0,None
729,33,330008,1,0,None
730,33,330009,1,0,None
731,33,330011,1,0,None
732,33,330012,1,0,None
733,33,330013,1,0,None
734,33,330014,1,0,None
735,33,330042,1,0,None
736,33,330034,1,0,None
737,33,330035,1,0,None
738,33,330036,1,0,None
739,33,330037,1,0,None
740,33,330038,1,0,None
741,33,330039,1,0,None
742,33,330040,1,0,None
743,33,330041,1,0,None
744,33,330033,1,0,None
745,33,330043,1,0,None
746,33,330044,1,0,None
747,33,330045,1,0,None
748,33,330046,1,0,None
749,33,330047,1,0,None
750,33,330048,1,0,None
751,33,330023,1,0,None
752,33,330015,1,0,None
753,33,330016,1,0,None
754,33,330017,1,0,None
755,33,330018,1,0,None
756,33,330019,1,0,None
757,33,330020,1,0,None
758,33,330021,1,0,None
759,33,330022,1,0,None
760,33,330025,1,0,None
761,33,330026,1,0,None
762,33,330027,1,0,None
763,33,330028,1,0,None
764,33,330029,1,0,None
765,33,330030,1,0,None
766,33,330031,1,0,None
767,33,330032,1,0,None
768,50,500046,1,0,None
769,50,500047,1,0,None
770,50,500048,1,0,None
771,50,500050,1,0,None
772,50,500043,1,0,None
773,50,500001,1,0,None
774,50,500002,1,0,None
775,50,500006,1,0,None
776,50,500009,1,0,None
777,50,500010,1,0,None
778,50,500014,1,0,None
779,50,500016,1,0,None
780,50,500024,1,0,None
781,50,500030,1,0,None
782,50,500034,1,0,None
783,50,500038,1,0,None
784,56,560084,1,0,None
785,56,560077,1,0,None
786,56,560078,1,0,None
787,56,560079,1,0,None
788,56,560081,1,0,None
789,56,560082,1,0,None
790,56,560083,1,0,None
791,56,560085,1,0,None
792,56,560086,1,0,None
793,56,560088,1,0,None
794,56,560089,1,0,None
795,56,560090,1,0,None
796,56,560091,1,0,None
797,56,560092,1,0,None
798,56,560067,1,0,None
799,56,560057,1,0,None
800,56,560061,1,0,None
801,56,560062,1,0,None
802,56,560063,1,0,None
803,56,560064,1,0,None
804,56,560065,1,0,None
805,56,560066,1,0,None
806,56,560093,1,0,None
807,56,560068,1,0,None
808,56,560069,1,0,None
809,56,560070,1,0,None
810,56,560071,1,0,None
811,56,560073,1,0,None
812,56,560074,1,0,None
813,56,560123,1,0,None
814,56,560115,1,0,None
815,56,560116,1,0,None
816,56,560117,1,0,None
817,56,560118,1,0,None
818,56,560120,1,0,None
819,56,560121,1,0,None
820,56,560122,1,0,None
821,56,560114,1,0,None
822,56,560124,1,0,None
823,56,560125,1,0,None
824,56,560126,1,0,None
825,56,560127,1,0,None
826,56,560128,1,0,None
827,56,560129,1,0,None
828,56,560104,1,0,None
829,56,560094,1,0,None
830,56,560096,1,0,None
831,56,560097,1,0,None
832,56,560098,1,0,None
833,56,560099,1,0,None
834,56,560101,1,0,None
835,56,560056,1,0,None
836,56,560105,1,0,None
837,56,560106,1,0,None
838,56,560107,1,0,None
839,56,560108,1,0,None
840,56,560109,1,0,None
841,56,560110,1,0,None
842,56,560111,1,0,None
843,56,560112,1,0,None
844,56,560113,1,0,None
845,56,560011,1,0,None
846,56,560012,1,0,None
847,56,560013,1,0,None
848,56,560014,1,0,None
849,56,560017,1,0,None
850,56,560018,1,0,None
851,56,560019,1,0,None
852,56,560021,1,0,None
853,56,560022,1,0,None
854,56,560023,1,0,None
855,56,560024,1,0,None
856,56,560026,1,0,None
857,56,560027,1,0,None
858,56,560028,1,0,None
859,56,560030,1,0,None
860,56,560001,1,0,None
861,56,560002,1,0,None
862,56,560003,1,0,None
863,56,560004,1,0,None
864,56,560005,1,0,None
865,56,560006,1,0,None
866,56,560007,1,0,None
867,56,560008,1,0,None
868,56,560009,1,0,None
869,56,560010,1,0,None
870,56,560048,1,0,None
871,56,560040,1,0,None
872,56,560041,1,0,None
873,56,560042,1,0,None
874,56,560043,1,0,None
875,56,560044,1,0,None
876,56,560045,1,0,None
877,56,560047,1,0,None
878,56,560039,1,0,None
879,56,560049,1,0,None
880,56,560050,1,0,None
881,56,560051,1,0,None
882,56,560053,1,0,None
883,56,560054,1,0,None
884,56,560055,1,0,None
885,56,560033,1,0,None
886,56,560034,1,0,None
887,56,560035,1,0,None
888,56,560036,1,0,None
889,56,560038,1,0,None
890,46,460076,1,0,None
891,46,460077,1,0,None
892,46,460078,1,0,None
893,46,460079,1,0,None
894,46,460080,1,0,None
895,46,460081,1,0,None
896,46,460082,1,0,None
897,46,460083,1,0,None
898,46,460084,1,0,None
899,46,460085,1,0,None
900,46,460086,1,0,None
901,46,460087,1,0,None
902,46,460088,1,0,None
903,46,460089,1,0,None
904,46,460090,1,0,None
905,46,460091,1,0,None
906,46,460068,1,0,None
907,46,460062,1,0,None
908,46,460063,1,0,None
909,46,460064,1,0,None
910,46,460065,1,0,None
911,46,460067,1,0,None
912,46,460069,1,0,None
913,46,460070,1,0,None
914,46,460071,1,0,None
915,46,460072,1,0,None
916,46,460073,1,0,None
917,46,460074,1,0,None
918,46,460110,1,0,None
919,46,460112,1,0,None
920,46,460113,1,0,None
921,46,460114,1,0,None
922,46,460115,1,0,None
923,46,460116,1,0,None
924,46,460109,1,0,None
925,46,460099,1,0,None
926,46,460092,1,0,None
927,46,460093,1,0,None
928,46,460094,1,0,None
929,46,460095,1,0,None
930,46,460096,1,0,None
931,46,460097,1,0,None
932,46,460098,1,0,None
933,46,460061,1,0,None
934,46,460100,1,0,None
935,46,460101,1,0,None
936,46,460102,1,0,None
937,46,460103,1,0,None
938,46,460104,1,0,None
939,46,460105,1,0,None
940,46,460107,1,0,None
941,46,460020,1,0,None
942,46,460011,1,0,None
943,46,460013,1,0,None
944,46,460014,1,0,None
945,46,460015,1,0,None
946,46,460016,1,0,None
947,46,460017,1,0,None
948,46,460018,1,0,None
949,46,460019,1,0,None
950,46,460010,1,0,None
951,46,460023,1,0,None
952,46,460024,1,0,None
953,46,460025,1,0,None
954,46,460026,1,0,None
955,46,460027,1,0,None
956,46,460028,1,0,None
957,46,460002,1,0,None
958,46,460001,1,0,None
959,46,460029,1,0,None
960,46,460003,1,0,None
961,46,460004,1,0,None
962,46,460005,1,0,None
963,46,460006,1,0,None
964,46,460007,1,0,None
965,46,460008,1,0,None
966,46,460009,1,0,None
967,46,460054,1,0,None
968,46,460048,1,0,None
969,46,460049,1,0,None
970,46,460050,1,0,None
971,46,460051,1,0,None
972,46,460052,1,0,None
973,46,460053,1,0,None
974,46,460055,1,0,None
975,46,460056,1,0,None
976,46,460057,1,0,None
977,46,460058,1,0,None
978,46,460059,1,0,None
979,46,460060,1,0,None
980,46,460040,1,0,None
981,46,460031,1,0,None
982,46,460032,1,0,None
983,46,460033,1,0,None
984,46,460035,1,0,None
985,46,460036,1,0,None
986,46,460038,1,0,None
987,46,460041,1,0,None
988,46,460042,1,0,None
989,46,460043,1,0,None
990,46,460044,1,0,None
991,46,460045,1,0,None
992,46,460046,1,0,None
993,46,460047,1,0,None
994,44,440001,1,0,None
995,44,440002,1,0,None
996,44,440003,1,0,None
997,44,440004,1,0,None
998,44,440005,1,0,None
999,44,440006,1,0,None
1000,44,440007,1,0,None
1001,44,440030,1,0,None
1002,44,440024,1,0,None
1003,44,440025,1,0,None
1004,44,440026,1,0,None
1005,44,440027,1,0,None
1006,44,440028,1,0,None
1007,44,440029,1,0,None
1008,44,440023,1,0,None
1009,44,440031,1,0,None
1010,44,440032,1,0,None
1011,44,440033,1,0,None
1012,44,440034,1,0,None
1013,44,440035,1,0,None
1014,44,440036,1,0,None
1015,44,440038,1,0,None
1016,44,440015,1,0,None
1017,44,440008,1,0,None
1018,44,440009,1,0,None
1019,44,440010,1,0,None
1020,44,440011,1,0,None
1021,44,440013,1,0,None
1022,44,440014,1,0,None
1023,44,440039,1,0,None
1024,44,440016,1,0,None
1025,44,440017,1,0,None
1026,44,440018,1,0,None
1027,44,440019,1,0,None
1028,44,440020,1,0,None
1029,44,440021,1,0,None
1030,44,440022,1,0,None
1031,44,440040,1,0,None
1032,44,440042,1,0,None
1033,10,100001,1,0,None
1034,10,100002,1,0,None
1035,10,100003,1,0,None
1036,10,100005,1,0,None
1037,10,100006,1,0,None
1038,10,100080,1,0,None
1039,10,100081,1,0,None
1040,10,100082,1,0,None
1041,10,100083,1,0,None
1042,10,100079,1,0,None
1043,10,100086,1,0,None
1044,10,100087,1,0,None
1045,10,100088,1,0,None
1046,10,100089,1,0,None
1047,10,100090,1,0,None
1048,10,100091,1,0,None
1049,10,100092,1,0,None
1050,10,100064,1,0,None
1051,10,100065,1,0,None
1052,10,100066,1,0,None
1053,10,100067,1,0,None
1054,10,100068,1,0,None
1055,10,100069,1,0,None
1056,10,100070,1,0,None
1057,10,100071,1,0,None
1058,10,100072,1,0,None
1059,10,100073,1,0,None
