,state_number,consecutive_number,vehicle_number,driver_distracted_by,driver_distracted_by_name
0,38,380091,5,0,Not Distracted
1,38,380097,5,0,Not Distracted
2,56,560031,19,0,Not Distracted
3,56,560031,18,0,Not Distracted
4,56,560031,17,0,Not Distracted
5,56,560031,16,0,Not Distracted
6,56,560031,15,0,Not Distracted
7,56,560031,14,0,Not Distracted
8,56,560031,12,0,Not Distracted
9,56,560031,11,0,Not Distracted
10,56,560031,10,0,Not Distracted
11,56,560031,7,0,Not Distracted
12,56,560031,6,0,Not Distracted
13,56,560031,5,0,Not Distracted
14,10,100079,6,0,Not Distracted
15,10,100079,5,0,Not Distracted
16,10,100011,6,0,Not Distracted
17,10,100011,5,0,Not Distracted
18,10,100006,5,0,Not Distracted
19,1,10343,7,0,Not Distracted
20,1,10343,6,0,Not Distracted
21,1,10343,5,0,Not Distracted
22,1,10286,5,0,Not Distracted
23,1,10095,10,0,Not Distracted
24,1,10034,5,0,Not Distracted
25,1,10034,6,0,Not Distracted
26,1,10153,5,0,Not Distracted
27,1,10141,9,0,Not Distracted
28,1,10141,8,0,Not Distracted
29,1,10141,7,0,Not Distracted
30,1,10141,6,0,Not Distracted
31,1,10141,5,0,Not Distracted
32,4,40824,6,0,Not Distracted
33,4,40824,5,0,Not Distracted
34,4,40532,5,0,Not Distracted
35,4,40532,6,0,Not Distracted
36,4,40532,7,0,Not Distracted
37,4,40541,5,0,Not Distracted
38,4,40696,6,0,Not Distracted
39,4,40696,5,0,Not Distracted
40,4,40761,6,0,Not Distracted
41,4,40761,5,0,Not Distracted
42,4,40688,6,0,Not Distracted
43,4,40688,5,0,Not Distracted
44,4,40105,5,0,Not Distracted
45,4,40105,6,0,Not Distracted
46,5,50319,5,0,Not Distracted
47,5,50319,6,0,Not Distracted
48,5,50342,5,0,Not Distracted
49,6,62748,5,0,Not Distracted
50,6,62491,5,0,Not Distracted
51,6,62491,7,0,Not Distracted
52,6,62437,7,0,Not Distracted
53,6,62448,5,0,Not Distracted
54,6,62448,6,0,Not Distracted
55,6,62437,5,0,Not Distracted
56,6,62966,8,0,Not Distracted
57,6,62966,7,0,Not Distracted
58,6,62966,6,0,Not Distracted
59,6,62966,5,0,Not Distracted
60,6,63030,5,0,Not Distracted
61,6,60263,6,0,Not Distracted
62,6,60263,5,0,Not Distracted
63,6,60481,7,0,Not Distracted
64,6,60481,6,0,Not Distracted
65,6,60481,5,0,Not Distracted
66,6,60020,5,0,Not Distracted
67,6,60060,5,0,Not Distracted
68,6,61808,5,0,Not Distracted
69,6,61795,5,0,Not Distracted
70,6,61757,8,0,Not Distracted
71,6,61757,7,0,Not Distracted
72,6,61757,6,0,Not Distracted
73,6,61757,5,0,Not Distracted
74,6,61502,5,0,Not Distracted
75,6,61537,5,0,Not Distracted
76,6,62068,5,0,Not Distracted
77,6,62206,5,0,Not Distracted
78,6,62240,5,0,Not Distracted
79,6,61945,5,0,Not Distracted
80,6,61945,6,0,Not Distracted
81,6,61070,5,0,Not Distracted
82,6,61020,6,0,Not Distracted
83,6,61020,5,0,Not Distracted
84,6,61166,6,0,Not Distracted
85,6,61166,5,0,Not Distracted
86,8,80388,5,0,Not Distracted
87,8,80389,5,0,Not Distracted
88,8,80126,5,0,Not Distracted
89,8,80197,8,0,Not Distracted
90,8,80197,7,0,Not Distracted
91,8,80197,6,0,Not Distracted
92,8,80197,5,0,Not Distracted
93,9,90227,7,0,Not Distracted
94,9,90227,6,0,Not Distracted
95,9,90227,5,0,Not Distracted
96,12,120307,5,0,Not Distracted
97,12,120307,6,0,Not Distracted
98,12,120307,7,0,Not Distracted
99,12,120307,8,0,Not Distracted
100,12,120307,9,0,Not Distracted
101,12,121947,5,0,Not Distracted
102,12,121843,5,0,Not Distracted
103,12,121984,5,0,Not Distracted
104,12,121984,6,0,Not Distracted
105,12,121984,7,0,Not Distracted
106,12,122008,5,0,Not Distracted
107,12,122470,5,0,Not Distracted
108,12,122187,5,0,Not Distracted
109,12,122175,5,0,Not Distracted
110,12,122252,7,0,Not Distracted
111,12,122252,6,0,Not Distracted
112,12,122252,5,0,Not Distracted
113,12,120838,5,0,Not Distracted
114,12,120938,5,0,Not Distracted
115,12,120958,5,0,Not Distracted
116,12,121478,5,0,Not Distracted
117,12,121163,5,0,Not Distracted
118,12,121101,5,0,Not Distracted
119,12,121101,6,0,Not Distracted
120,12,121101,7,0,Not Distracted
121,12,121199,5,0,Not Distracted
122,12,121199,6,0,Not Distracted
