,state_number,consecutive_number,vehicle_number,driver_distracted_by,driver_distracted_by_name
123,12,121199,7,0,Not Distracted
124,12,122612,5,0,Not Distracted
125,13,130979,5,0,Not Distracted
126,13,130729,5,0,Not Distracted
127,13,131183,5,0,Not Distracted
128,13,131183,6,0,Not Distracted
129,13,130251,5,0,Not Distracted
130,13,130251,6,0,Not Distracted
131,13,130199,5,0,Not Distracted
132,13,130538,5,0,Not Distracted
133,13,130480,5,0,Not Distracted
134,13,130480,6,0,Not Distracted
135,13,130480,7,0,Not Distracted
136,13,130385,5,0,Not Distracted
137,13,130385,6,0,Not Distracted
138,13,130385,7,0,Not Distracted
139,17,170533,5,0,Not Distracted
140,17,170226,5,0,Not Distracted
141,17,170204,5,0,Not Distracted
142,17,170920,12,0,Not Distracted
143,17,170920,9,0,Not Distracted
144,17,170920,8,0,Not Distracted
145,17,170920,7,0,Not Distracted
146,17,170920,6,0,Not Distracted
147,17,170952,5,0,Not Distracted
148,17,170952,6,0,Not Distracted
149,18,180458,7,0,Not Distracted
150,18,180458,6,0,Not Distracted
151,18,180458,5,0,Not Distracted
152,18,180748,5,0,Not Distracted
153,18,180725,6,0,Not Distracted
154,18,180725,5,0,Not Distracted
155,18,180725,7,0,Not Distracted
156,18,180725,8,0,Not Distracted
157,18,180725,9,0,Not Distracted
158,18,180725,10,0,Not Distracted
159,18,180725,11,0,Not Distracted
160,18,180725,12,0,Not Distracted
161,18,180725,13,0,Not Distracted
162,18,180725,14,0,Not Distracted
163,18,180125,6,0,Not Distracted
164,18,180125,7,0,Not Distracted
165,18,180125,8,0,Not Distracted
166,18,180125,9,0,Not Distracted
167,18,180125,5,0,Not Distracted
168,18,180053,6,0,Not Distracted
169,18,180053,5,0,Not Distracted
170,19,190031,5,0,Not Distracted
171,20,200060,5,0,Not Distracted
172,21,210070,5,0,Not Distracted
173,21,210210,5,0,Not Distracted
174,21,210210,6,0,Not Distracted
175,21,210210,7,0,Not Distracted
176,21,210199,5,0,Not Distracted
177,21,210302,7,0,Not Distracted
178,21,210302,6,0,Not Distracted
179,21,210302,5,0,Not Distracted
180,22,220440,5,0,Not Distracted
181,24,240232,5,0,Not Distracted
182,24,240475,5,0,Not Distracted
183,24,240129,5,0,Not Distracted
184,26,260911,13,0,Not Distracted
185,26,260911,50,0,Not Distracted
186,26,260894,7,0,Not Distracted
187,26,260898,5,0,Not Distracted
188,26,260898,6,0,Not Distracted
189,26,260898,7,0,Not Distracted
190,26,260682,5,0,Not Distracted
191,26,260682,6,0,Not Distracted
192,26,260662,5,0,Not Distracted
193,26,260463,8,0,Not Distracted
194,26,260463,7,0,Not Distracted
195,26,260463,6,0,Not Distracted
196,26,260463,5,0,Not Distracted
197,26,260461,5,0,Not Distracted
198,26,260360,5,0,Not Distracted
199,26,260561,5,0,Not Distracted
200,26,260561,6,0,Not Distracted
201,26,260561,7,0,Not Distracted
202,27,270035,8,0,Not Distracted
203,27,270035,7,0,Not Distracted
204,27,270035,6,0,Not Distracted
205,27,270035,5,0,Not Distracted
206,29,290643,5,0,Not Distracted
207,29,290643,6,0,Not Distracted
208,29,290643,7,0,Not Distracted
209,29,290420,5,0,Not Distracted
210,29,290420,6,0,Not Distracted
211,29,290498,5,0,Not Distracted
212,29,290805,6,0,Not Distracted
213,29,290805,5,0,Not Distracted
214,29,290152,5,0,Not Distracted
215,29,290152,6,0,Not Distracted
216,29,290152,7,0,Not Distracted
217,29,290152,8,0,Not Distracted
218,29,290152,9,0,Not Distracted
219,29,290129,5,0,Not Distracted
220,30,300019,5,0,Not Distracted
221,32,320226,5,0,Not Distracted
222,32,320100,5,0,Not Distracted
223,32,320119,9,0,Not Distracted
224,32,320119,8,0,Not Distracted
225,32,320119,7,0,Not Distracted
226,32,320119,6,0,Not Distracted
227,32,320119,5,0,Not Distracted
228,32,320108,5,0,Not Distracted
229,34,340025,5,0,Not Distracted
230,34,340244,5,0,Not Distracted
231,34,340244,19,0,Not Distracted
232,34,340244,18,0,Not Distracted
233,34,340244,17,0,Not Distracted
234,34,340244,16,0,Not Distracted
235,34,340244,15,0,Not Distracted
236,34,340244,14,0,Not Distracted
237,34,340244,13,0,Not Distracted
238,34,340244,12,0,Not Distracted
239,34,340244,11,0,Not Distracted
240,34,340244,10,0,Not Distracted
241,34,340244,9,0,Not Distracted
242,34,340244,8,0,Not Distracted
243,34,340244,7,0,Not Distracted
244,34,340244,6,0,Not Distracted
245,34,340174,5,0,Not Distracted
246,34,340174,6,0,Not Distracted
247,34,340189,5,0,Not Distracted
248,35,350090,5,0,Not Distracted
249,35,350072,5,0,Not Distracted
250,35,350031,6,0,Not Distracted
251,35,350031,5,0,Not Distracted
252,35,350272,5,0,Not Distracted
253,36,360883,6,0,Not Distracted
254,36,360883,7,0,Not Distracted
255,36,360889,6,0,Not Distracted
256,36,360889,5,0,Not Distracted
257,36,360823,6,0,Not Distracted
258,36,360823,5,0,Not Distracted
259,36,360094,5,0,Not Distracted
260,36,360211,6,0,Not Distracted
261,36,360211,5,0,Not Distracted
262,37,371035,5,0,Not Distracted
263,37,371097,6,0,Not Distracted
264,37,371097,5,0,Not Distracted
265,37,370920,5,0,Not Distracted
266,39,390096,5,0,Not Distracted
267,39,390096,6,0,Not Distracted
268,39,390096,7,0,Not Distracted
269,39,390096,8,0,Not Distracted
270,39,390096,9,0,Not Distracted
271,39,390088,8,0,Not Distracted
272,39,390088,7,0,Not Distracted
273,39,390088,6,0,Not Distracted
274,39,390088,5,0,Not Distracted
275,39,390096,10,0,Not Distracted
276,39,390126,21,0,Not Distracted
277,39,390126,12,0,Not Distracted
278,39,390126,13,0,Not Distracted
279,39,390126,14,0,Not Distracted
280,39,390126,15,0,Not Distracted
281,39,390126,17,0,Not Distracted
282,39,390126,18,0,Not Distracted
283,39,390126,19,0,Not Distracted
284,39,390126,20,0,Not Distracted
285,39,390126,11,0,Not Distracted
286,39,390126,23,0,Not Distracted
287,39,390126,24,0,Not Distracted
288,39,390126,25,0,Not Distracted
289,39,390126,26,0,Not Distracted
290,39,390126,27,0,Not Distracted
291,39,390126,28,0,Not Distracted
292,39,390126,29,0,Not Distracted
293,39,390126,10,0,Not Distracted
294,39,390126,9,0,Not Distracted
295,39,390126,8,0,Not Distracted
296,39,390126,7,0,Not Distracted
297,39,390126,6,0,Not Distracted
298,39,390126,5,0,Not Distracted
299,39,390122,5,0,Not Distracted
300,39,390096,27,0,Not Distracted
301,39,390096,28,0,Not Distracted
302,39,390096,29,0,Not Distracted
303,39,390096,30,0,Not Distracted
304,39,390096,31,0,Not Distracted
305,39,390096,26,0,Not Distracted
306,39,390099,5,0,Not Distracted
307,39,390099,6,0,Not Distracted
308,39,390099,7,0,Not Distracted
309,39,390096,25,0,Not Distracted
310,39,390096,24,0,Not Distracted
311,39,390096,23,0,Not Distracted
312,39,390096,22,0,Not Distracted
313,39,390096,21,0,Not Distracted
314,39,390096,20,0,Not Distracted
315,39,390096,19,0,Not Distracted
316,39,390096,18,0,Not Distracted
317,39,390096,17,0,Not Distracted
318,39,390096,16,0,Not Distracted
319,39,390096,15,0,Not Distracted
320,39,390096,14,0,Not Distracted
321,39,390096,13,0,Not Distracted
322,39,390096,12,0,Not Distracted
323,39,390096,11,0,Not Distracted
324,39,390552,6,0,Not Distracted
325,39,390552,5,0,Not Distracted
326,40,400245,6,0,Not Distracted
327,40,400245,5,0,Not Distracted
328,40,400365,5,0,Not Distracted
329,40,400365,6,0,Not Distracted
330,40,400365,7,0,Not Distracted
331,40,400365,8,0,Not Distracted
332,40,400055,5,0,Not Distracted
333,41,410316,7,0,Not Distracted
334,41,410316,6,0,Not Distracted
335,41,410316,5,0,Not Distracted
336,41,410053,5,0,Not Distracted
337,42,420363,6,0,Not Distracted
338,42,420363,5,0,Not Distracted
339,42,420772,5,0,Not Distracted
340,42,420648,5,0,Not Distracted
341,42,420702,6,0,Not Distracted
342,42,420702,5,0,Not Distracted
343,42,420702,7,0,Not Distracted
344,42,420702,8,0,Not Distracted
345,42,420702,9,0,Not Distracted
346,42,420704,5,0,Not Distracted
347,42,420704,6,0,Not Distracted
348,42,420704,7,0,Not Distracted
349,42,420710,6,0,Not Distracted
350,42,420710,5,0,Not Distracted
351,42,420704,22,0,Not Distracted
352,42,420704,21,0,Not Distracted
353,42,420704,20,0,Not Distracted
354,42,420704,19,0,Not Distracted
355,42,420704,17,0,Not Distracted
356,42,420704,16,0,Not Distracted
357,42,420704,14,0,Not Distracted
358,42,420704,13,0,Not Distracted
359,42,420704,12,0,Not Distracted
360,42,420704,11,0,Not Distracted
361,42,420704,10,0,Not Distracted
362,42,420704,9,0,Not Distracted
363,42,420704,8,0,Not Distracted
364,47,470389,9,0,Not Distracted
365,47,470389,8,0,Not Distracted
366,47,470389,7,0,Not Distracted
367,47,470389,6,0,Not Distracted
368,47,470389,5,0,Not Distracted
369,47,470316,5,0,Not Distracted
370,47,470296,6,0,Not Distracted
371,47,470109,5,0,Not Distracted
372,47,470750,5,0,Not Distracted
373,48,482782,5,0,Not Distracted
374,48,482737,6,0,Not Distracted
375,48,482737,5,0,Not Distracted
376,48,482627,5,0,Not Distracted
377,48,482644,6,0,Not Distracted
378,48,482644,5,0,Not Distracted
379,48,482668,5,0,Not Distracted
380,48,482929,5,0,Not Distracted
381,48,482030,5,0,Not Distracted
382,48,482023,5,0,Not Distracted
383,48,482062,5,0,Not Distracted
384,48,482145,6,0,Not Distracted
385,48,482145,5,0,Not Distracted
386,48,482062,6,0,Not Distracted
387,48,482369,5,0,Not Distracted
388,48,482369,6,0,Not Distracted
389,48,482369,7,0,Not Distracted
390,48,482373,5,0,Not Distracted
391,48,482165,6,0,Not Distracted
392,48,482165,5,0,Not Distracted
393,48,482162,5,0,Not Distracted
394,48,482254,5,0,Not Distracted
395,48,481257,5,0,Not Distracted
396,48,481257,6,0,Not Distracted
397,48,481257,7,0,Not Distracted
398,48,481257,8,0,Not Distracted
399,48,481257,9,0,Not Distracted
400,48,481207,5,0,Not Distracted
401,48,481207,6,0,Not Distracted
402,48,481333,5,0,Not Distracted
403,48,481149,5,0,Not Distracted
404,48,481184,5,0,Not Distracted
405,48,481634,5,0,Not Distracted
406,48,481733,6,0,Not Distracted
407,48,481733,5,0,Not Distracted
408,48,481729,9,0,Not Distracted
409,48,481729,7,0,Not Distracted
410,48,481729,6,0,Not Distracted
411,48,481729,5,0,Not Distracted
412,48,480330,5,0,Not Distracted
413,48,480879,5,0,Not Distracted
414,48,480828,5,0,Not Distracted
415,48,480828,6,0,Not Distracted
416,48,480824,5,0,Not Distracted
417,48,480777,5,0,Not Distracted
418,48,480751,5,0,Not Distracted
419,49,490027,5,0,Not Distracted
420,49,490011,5,0,Not Distracted
421,49,490046,5,0,Not Distracted
422,49,490123,5,0,Not Distracted
423,49,490123,6,0,Not Distracted
424,49,490123,8,0,Not Distracted
425,49,490123,10,0,Not Distracted
426,49,490123,11,0,Not Distracted
427,49,490123,12,0,Not Distracted
428,49,490123,13,0,Not Distracted
429,49,490123,16,0,Not Distracted
430,49,490123,15,0,Not Distracted
431,49,490123,14,0,Not Distracted
432,49,490250,5,0,Not Distracted
433,51,510171,6,0,Not Distracted
434,51,510171,5,0,Not Distracted
435,51,510261,6,0,Not Distracted
436,51,510261,5,0,Not Distracted
437,53,530487,5,0,Not Distracted
438,53,530505,5,0,Not Distracted
439,53,530396,5,0,Not Distracted
440,53,530397,5,0,Not Distracted
441,53,530380,5,0,Not Distracted
442,53,530442,5,0,Not Distracted
443,54,540135,5,0,Not Distracted
444,55,550528,6,0,Not Distracted
445,55,550528,5,0,Not Distracted
446,55,550048,5,0,Not Distracted
447,55,550048,6,0,Not Distracted
448,48,481729,8,1,Looked But Did Not See
449,6,62491,6,6,While Manipulating Cellular Phone
450,5,50474,5,12,"Distracted by Outside Person, Object or Event"
451,5,50474,6,12,"Distracted by Outside Person, Object or Event"
452,6,62966,9,12,"Distracted by Outside Person, Object or Event"
453,6,62966,10,12,"Distracted by Outside Person, Object or Event"
454,56,560031,9,16,No Driver Present/Unknown if Driver Present
455,6,62701,5,16,No Driver Present/Unknown if Driver Present
456,39,390126,22,16,No Driver Present/Unknown if Driver Present
457,39,390126,16,16,No Driver Present/Unknown if Driver Present
458,35,350271,5,92,"Distraction (Distracted), Details Unknown"
459,35,350031,7,93,"Inattention (Inattentive), Details Unknown"
460,2,20035,6,96,Not Reported
461,2,20035,5,96,Not Reported
462,6,62437,6,96,Not Reported
463,6,63135,5,96,Not Reported
464,6,61346,5,96,Not Reported
465,6,60512,6,96,Not Reported
466,6,60512,8,96,Not Reported
467,6,60512,7,96,Not Reported
468,6,60512,5,96,Not Reported
469,9,90227,8,96,Not Reported
470,28,280211,5,96,Not Reported
471,41,410333,11,96,Not Reported
472,41,410333,10,96,Not Reported
473,41,410333,9,96,Not Reported
474,41,410333,8,96,Not Reported
475,41,410333,7,96,Not Reported
476,41,410333,6,96,Not Reported
477,41,410333,5,96,Not Reported
478,41,410225,7,96,Not Reported
479,41,410225,6,96,Not Reported
480,41,410225,5,96,Not Reported
481,42,420704,18,96,Not Reported
482,45,450114,6,96,Not Reported
483,45,450114,5,96,Not Reported
484,45,450155,5,96,Not Reported
485,45,450341,5,96,Not Reported
486,53,530404,7,96,Not Reported
487,53,530404,6,96,Not Reported
488,53,530404,5,96,Not Reported
489,51,510171,7,98,Other Distraction
490,56,560031,13,99,Unknown if Distracted
491,1,10095,9,99,Unknown if Distracted
492,1,10095,8,99,Unknown if Distracted
493,1,10095,7,99,Unknown if Distracted
494,1,10095,6,99,Unknown if Distracted
495,1,10095,5,99,Unknown if Distracted
496,6,60060,6,99,Unknown if Distracted
497,6,61061,5,99,Unknown if Distracted
498,6,62491,8,99,Unknown if Distracted
499,12,121738,5,99,Unknown if Distracted
500,17,170420,5,99,Unknown if Distracted
501,19,190031,6,99,Unknown if Distracted
502,26,260911,15,99,Unknown if Distracted
503,26,260911,28,99,Unknown if Distracted
504,26,260911,27,99,Unknown if Distracted
505,26,260911,26,99,Unknown if Distracted
506,26,260911,25,99,Unknown if Distracted
507,26,260911,24,99,Unknown if Distracted
508,26,260911,23,99,Unknown if Distracted
509,26,260911,22,99,Unknown if Distracted
510,26,260911,21,99,Unknown if Distracted
511,26,260911,20,99,Unknown if Distracted
512,26,260911,19,99,Unknown if Distracted
513,26,260911,18,99,Unknown if Distracted
514,26,260911,17,99,Unknown if Distracted
515,26,260911,16,99,Unknown if Distracted
516,26,260911,29,99,Unknown if Distracted
517,26,260911,14,99,Unknown if Distracted
518,26,260911,12,99,Unknown if Distracted
519,26,260911,11,99,Unknown if Distracted
520,26,260911,10,99,Unknown if Distracted
521,26,260911,9,99,Unknown if Distracted
522,26,260911,8,99,Unknown if Distracted
523,26,260911,7,99,Unknown if Distracted
524,26,260911,6,99,Unknown if Distracted
525,26,260911,5,99,Unknown if Distracted
526,26,260894,6,99,Unknown if Distracted
527,26,260894,5,99,Unknown if Distracted
528,26,260911,43,99,Unknown if Distracted
529,26,260911,57,99,Unknown if Distracted
530,26,260911,56,99,Unknown if Distracted
531,26,260911,55,99,Unknown if Distracted
532,26,260911,54,99,Unknown if Distracted
533,26,260911,53,99,Unknown if Distracted
534,26,260911,52,99,Unknown if Distracted
535,26,260911,51,99,Unknown if Distracted
536,26,260911,49,99,Unknown if Distracted
537,26,260911,48,99,Unknown if Distracted
538,26,260911,47,99,Unknown if Distracted
539,26,260911,46,99,Unknown if Distracted
540,26,260911,45,99,Unknown if Distracted
541,26,260911,44,99,Unknown if Distracted
542,26,260911,42,99,Unknown if Distracted
543,26,260911,41,99,Unknown if Distracted
544,26,260911,40,99,Unknown if Distracted
545,26,260911,39,99,Unknown if Distracted
546,26,260911,38,99,Unknown if Distracted
547,26,260911,37,99,Unknown if Distracted
548,26,260911,36,99,Unknown if Distracted
549,26,260911,35,99,Unknown if Distracted
550,26,260911,34,99,Unknown if Distracted
551,26,260911,33,99,Unknown if Distracted
552,26,260911,32,99,Unknown if Distracted
553,26,260911,31,99,Unknown if Distracted
554,26,260911,30,99,Unknown if Distracted
555,26,260911,58,99,Unknown if Distracted
556,42,420704,15,99,Unknown if Distracted
557,49,490123,9,99,Unknown if Distracted
558,49,490123,7,99,Unknown if Distracted
559,38,380001,1,0,Not Distracted
560,38,380002,1,0,Not Distracted
561,38,380003,1,0,Not Distracted
562,38,380019,1,0,Not Distracted
563,38,380013,1,0,Not Distracted
564,38,380014,1,0,Not Distracted
565,38,380015,1,0,Not Distracted
566,38,380016,1,0,Not Distracted
567,38,380017,1,0,Not Distracted
568,38,380018,1,0,Not Distracted
569,38,380021,1,0,Not Distracted
570,38,380022,1,0,Not Distracted
571,38,380023,1,0,Not Distracted
572,38,380024,1,0,Not Distracted
573,38,380012,1,0,Not Distracted
574,38,380011,1,0,Not Distracted
575,38,380010,1,0,Not Distracted
576,38,380009,1,0,Not Distracted
577,38,380008,1,0,Not Distracted
578,38,380007,1,0,Not Distracted
579,38,380006,1,0,Not Distracted
580,38,380005,1,0,Not Distracted
581,38,380025,1,0,Not Distracted
582,38,380088,1,0,Not Distracted
583,38,380089,1,0,Not Distracted
584,38,380090,1,0,Not Distracted
585,38,380091,1,0,Not Distracted
586,38,380087,1,0,Not Distracted
587,38,380093,1,0,Not Distracted
588,38,380094,1,0,Not Distracted
589,38,380095,1,0,Not Distracted
590,38,380096,1,0,Not Distracted
591,38,380097,1,0,Not Distracted
592,38,380086,1,0,Not Distracted
593,38,380085,1,0,Not Distracted
594,38,380084,1,0,Not Distracted
595,38,380083,1,0,Not Distracted
596,38,380082,1,0,Not Distracted
597,38,380081,1,0,Not Distracted
598,38,380080,1,0,Not Distracted
599,38,380079,1,0,Not Distracted
600,38,380078,1,0,Not Distracted
601,38,380108,1,0,Not Distracted
602,38,380109,1,0,Not Distracted
603,38,380110,1,0,Not Distracted
604,38,380111,1,0,Not Distracted
605,38,380112,1,0,Not Distracted
606,38,380113,1,0,Not Distracted
607,38,380107,1,0,Not Distracted
608,38,380114,1,0,Not Distracted
609,38,380115,1,0,Not Distracted
610,38,380116,1,0,Not Distracted
611,38,380077,1,0,Not Distracted
612,38,380106,1,0,Not Distracted
613,38,380105,1,0,Not Distracted
614,38,380104,1,0,Not Distracted
615,38,380102,1,0,Not Distracted
616,38,380101,1,0,Not Distracted
617,38,380100,1,0,Not Distracted
618,38,380099,1,0,Not Distracted
619,38,380098,1,0,Not Distracted
620,38,380048,1,0,Not Distracted
621,38,380040,1,0,Not Distracted
622,38,380041,1,0,Not Distracted
623,38,380044,1,0,Not Distracted
624,38,380045,1,0,Not Distracted
625,38,380046,1,0,Not Distracted
626,38,380047,1,0,Not Distracted
627,38,380039,1,0,Not Distracted
628,38,380049,1,0,Not Distracted
629,38,380050,1,0,Not Distracted
630,38,380051,1,0,Not Distracted
631,38,380052,1,0,Not Distracted
632,38,380053,1,0,Not Distracted
633,38,380054,1,0,Not Distracted
634,38,380038,1,0,Not Distracted
635,38,380037,1,0,Not Distracted
636,38,380036,1,0,Not Distracted
637,38,380035,1,0,Not Distracted
638,38,380034,1,0,Not Distracted
639,38,380033,1,0,Not Distracted
640,38,380032,1,0,Not Distracted
641,38,380031,1,0,Not Distracted
642,38,380030,1,0,Not Distracted
643,38,380029,1,0,Not Distracted
644,38,380028,1,0,Not Distracted
645,38,380027,1,0,Not Distracted
646,38,380026,1,0,Not Distracted
647,38,380066,1,0,Not Distracted
648,38,380076,1,0,Not Distracted
649,38,380075,1,0,Not Distracted
650,38,380074,1,0,Not Distracted
651,38,380073,1,0,Not Distracted
652,38,380072,1,0,Not Distracted
653,38,380071,1,0,Not Distracted
654,38,380070,1,0,Not Distracted
655,38,380069,1,0,Not Distracted
656,38,380068,1,0,Not Distracted
657,38,380067,1,0,Not Distracted
658,38,380065,1,0,Not Distracted
659,38,380064,1,0,Not Distracted
660,38,380063,1,0,Not Distracted
661,38,380062,1,0,Not Distracted
662,38,380061,1,0,Not Distracted
663,38,380059,1,0,Not Distracted
664,38,380058,1,0,Not Distracted
665,38,380057,1,0,Not Distracted
666,38,380055,1,0,Not Distracted
667,33,330064,1,0,Not Distracted
668,33,330055,1,0,Not Distracted
669,33,330059,1,0,Not Distracted
670,33,330060,1,0,Not Distracted
671,33,330061,1,0,Not Distracted
672,33,330053,1,0,Not Distracted
673,33,330066,1,0,Not Distracted
674,33,330068,1,0,Not Distracted
675,33,330072,1,0,Not Distracted
676,33,330074,1,0,Not Distracted
677,33,330051,1,0,Not Distracted
678,33,330050,1,0,Not Distracted
679,33,330049,1,0,Not Distracted
680,33,330048,1,0,Not Distracted
681,33,330047,1,0,Not Distracted
682,33,330046,1,0,Not Distracted
683,33,330042,1,0,Not Distracted
684,33,330041,1,0,Not Distracted
685,33,330039,1,0,Not Distracted
686,33,330101,1,0,Not Distracted
687,33,330093,1,0,Not Distracted
688,33,330094,1,0,Not Distracted
689,33,330096,1,0,Not Distracted
690,33,330097,1,0,Not Distracted
691,33,330100,1,0,Not Distracted
692,33,330091,1,0,Not Distracted
693,33,330103,1,0,Not Distracted
694,33,330090,1,0,Not Distracted
695,33,330089,1,0,Not Distracted
696,33,330088,1,0,Not Distracted
697,33,330085,1,0,Not Distracted
698,33,330084,1,0,Not Distracted
699,33,330083,1,0,Not Distracted
700,33,330081,1,0,Not Distracted
701,33,330080,1,0,Not Distracted
702,33,330079,1,0,Not Distracted
703,33,330077,1,0,Not Distracted
704,33,330075,1,0,Not Distracted
705,33,330002,1,0,Not Distracted
706,33,330003,1,0,Not Distracted
707,33,330005,1,0,Not Distracted
708,33,330006,1,0,Not Distracted
709,33,330007,1,0,Not Distracted
710,33,330029,1,0,Not Distracted
711,33,330021,1,0,Not Distracted
712,33,330022,1,0,Not Distracted
713,33,330023,1,0,Not Distracted
714,33,330025,1,0,Not Distracted
715,33,330026,1,0,Not Distracted
716,33,330028,1,0,Not Distracted
717,33,330020,1,0,Not Distracted
718,33,330030,1,0,Not Distracted
719,33,330033,1,0,Not Distracted
720,33,330035,1,0,Not Distracted
721,33,330036,1,0,Not Distracted
722,33,330037,1,0,Not Distracted
723,33,330019,1,0,Not Distracted
724,33,330018,1,0,Not Distracted
725,33,330017,1,0,Not Distracted
726,33,330016,1,0,Not Distracted
727,33,330015,1,0,Not Distracted
728,33,330014,1,0,Not Distracted
729,33,330013,1,0,Not Distracted
730,33,330012,1,0,Not Distracted
731,33,330010,1,0,Not Distracted
732,33,330009,1,0,Not Distracted
733,56,560040,1,0,Not Distracted
734,56,560041,1,0,Not Distracted
735,56,560044,1,0,Not Distracted
736,56,560048,1,0,Not Distracted
737,56,560050,1,0,Not Distracted
738,56,560033,1,0,Not Distracted
739,56,560054,1,0,Not Distracted
740,56,560062,1,0,Not Distracted
741,56,560066,1,0,Not Distracted
742,56,560067,1,0,Not Distracted
743,56,560094,1,0,Not Distracted
744,56,560095,1,0,Not Distracted
745,56,560098,1,0,Not Distracted
746,56,560100,1,0,Not Distracted
747,56,560111,1,0,Not Distracted
748,56,560092,1,0,Not Distracted
749,56,560123,1,0,Not Distracted
750,56,560125,1,0,Not Distracted
751,56,560128,1,0,Not Distracted
752,56,560130,1,0,Not Distracted
753,56,560027,1,0,Not Distracted
754,56,560089,1,0,Not Distracted
755,56,560085,1,0,Not Distracted
